name,category,price,sale,description
베이직 반팔 티셔츠,상의,19000,15,부드러운 면소재의 기본 라운드 티셔츠
스트라이프 셔츠,상의,32000,20,세련된 스트라이프 패턴의 긴팔 셔츠
니트 가디건,상의,39000,12,따뜻하고 부드러운 니트 소재의 기본 가디건
크롭 후드티,상의,29000,33,캐주얼한 크롭 디자인의 후드티
슬림 일자 청바지,하의,42000,3,스판이 함유된 슬림핏 데님 팬츠
와이드 슬랙스,하의,45000,6,세미오버핏으로 편안한 착용감의 슬랙스
조거 팬츠,하의,35000,17,활동성이 좋은 밴딩 조거 팬츠
플리츠 롱스커트,하의,38000,20,살랑이는 플리츠 디자인의 롱스커트
가죽 라이더 자켓,아우터,99000,11,고급 합성가죽 소재의 라이더 스타일 자켓
트렌치 코트,아우터,119000,21,봄·가을용 클래식 트렌치 코트
오버핏 패딩 점퍼,아우터,135000,25,보온성이 뛰어난 겨울용 오버핏 패딩
화이트 스니커즈,신발,59000,18,깔끔한 디자인의 데일리 스니커즈
로퍼,신발,69000,40,세련된 가죽 소재의 남녀 공용 로퍼
버킷햇,액세서리,25000,29,스트릿 감성의 코튼 버킷햇
크로스백,액세서리,49000,18,수납공간이 넉넉한 가죽 크로스백
